Geo_Type,Geo_Div,Geo_ID,Geo_Description,Geo_ID_Val,X,Y,CensusDiv,US_States,Viz_Tick
Domestic,Other,30460,Lexington-Fayette,30460,-84.4330599038,38.0905122157,ESC,KY,60
Domestic,Rest,90021,Rest of Kentucky,90021,-85.29048,37.52668,ESC,KY,61
Domestic,Other,28700,Kingsport-Bristol-Bristol,28700,-82.4425708472,36.6077385422,ESC,TN-VA,62
Domestic,Other,27740,Johnson City,27740,-82.334425027,36.2537469875,ESC,TN,63
Domestic,Other,34100,Morristown,34100,-83.4306313727,36.1739421081,ESC,TN,64
Domestic,Other,17420,Cleveland,17420,-84.6673899437,35.1345576407,ESC,TN,65
Domestic,100,28940,Knoxville,28940,-84.0155479901,35.9309956306,ESC,TN,66
Domestic,100,16860,Chattanooga,16860,-85.3591287635,35.0519827713,ESC,TN-GA,67
Domestic,Rest,90047,Rest of Tennessee,90047,-86.34323,35.843,ESC,TN,68
Domestic,Other,22520,Florence-Muscle Shoals,22520,-87.7240007441,34.8082097242,ESC,AL,69
Domestic,Other,26620,Huntsville,26620,-86.7346420834,34.7831887979,ESC,AL,70
Domestic,Other,19460,Decatur,19460,-87.1026375766,34.490636237,ESC,AL,71
Domestic,Other,23460,Gadsden,23460,-86.0347622293,34.0452540791,ESC,AL,72
Domestic,Other,11500,Anniston-Oxford,11500,-85.8260348886,33.7714278051,ESC,AL,73
Domestic,100,13820,Birmingham-Hoover,13820,-86.8138680459,33.4638408575,ESC,AL,74
Domestic,Other,46220,Tuscaloosa,46220,-87.6560110544,33.052582924,ESC,AL,75
Domestic,Rest,90001,Rest of Alabama,90001,-86.82765,32.79154,ESC,AL,76
Domestic,Other,33860,Montgomery,33860,-86.4032432133,32.3606124903,ESC,AL,77
Domestic,Other,12220,Auburn-Opelika,12220,-85.3555627019,32.6011364656,ESC,AL,78
Domestic,Other,20020,Dothan,20020,-85.4617247065,31.2528941136,ESC,AL,79
Domestic,Other,33660,Mobile,33660,-88.1975295789,30.6851468973,ESC,AL,80
Domestic,Other,37860,Pensacola-Ferry Pass-Brent,37860,-87.1562719811,30.6593962361,SA,FL,81
Domestic,Other,23020,Fort Walton Beach-Crestview-Destin,23020,-86.5921750786,30.665029745,SA,FL,82
Domestic,Other,37460,Panama City-Lynn Haven,37460,-85.6326228021,30.2376465502,SA,FL,83
Domestic,Other,45220,Tallahassee,45220,-84.2814110908,30.3867853246,SA,FL,84
Domestic,Other,23540,Gainesville,23540,-82.47651104,29.6884614174,SA,FL,85
Domestic,Other,36100,Ocala,36100,-82.0566758743,29.2102025732,SA,FL,86
Domestic,Rest,90012,Rest of Florida,90012,-82.48823,28.65004,SA,FL,87
Domestic,100,29460,Lakeland,29460,-81.6976676304,27.948875102,SA,FL,88
Domestic,100,45300,Tampa-St. Petersburg-Clearwater,45300,-82.4640394067,28.125538827,SA,FL,89
Domestic,100,42260,Sarasota-Bradenton-Venice,42260,-82.3608702532,27.3454627409,SA,FL,90
Domestic,Other,39460,Punta Gorda,39460,-81.950311502,26.8998488309,SA,FL,91
Domestic,100,15980,Cape Coral-Fort Myers,15980,-81.9154526148,26.5756896255,SA,FL,92
Domestic,Other,34940,Naples-Marco Island,34940,-81.3809730167,26.0992389714,SA,FL,93
Domestic,100,33100,Miami-Fort Lauderdale-Miami Beach,33100,-80.465201842,26.1310646146,SA,FL,94
Domestic,Other,38940,Port St. Lucie-Fort Pierce,38940,-80.4210005962,27.224664035,SA,FL,95
Domestic,Other,46940,Vero Beach,46940,-80.5740895612,27.6963908092,SA,FL,96
Domestic,100,37340,Palm Bay-Melbourne-Titusville,37340,-80.7012055281,28.3003140141,SA,FL,97
Domestic,100,36740,Orlando,36740,-81.3630504872,28.4343585858,SA,FL,98
Domestic,Other,19660,Deltona-Daytona Beach-Ormond Beach,19660,-81.1485721309,29.063451958,SA,FL,99
Domestic,100,27260,Jacksonville,27260,-81.7574986646,30.2340724673,SA,FL,100
Domestic,Other,15260,Brunswick,15260,-81.5871740009,31.3055344415,SA,GA,101
Domestic,Other,25980,Hinesville-Fort Stewart,25980,-81.5723873675,31.7853094534,SA,GA,102
Domestic,Other,42340,Savannah,42340,-81.2704697333,32.1067031761,SA,GA,103
Domestic,Other,46660,Valdosta,46660,-83.2415960784,30.8294866498,SA,GA,104
Domestic,Other,10500,Albany,10500,-84.1738860839,31.5895065715,SA,GA,105
Domestic,Other,17980,Columbus,17980,-84.9087558522,32.4414364058,SA,GA-AL,106
Domestic,Rest,90013,Rest of Georgia,90013,-83.44965,32.65135,SA,GA,107
Domestic,Other,47580,Warner Robins,47580,-83.6662425531,32.4590071242,SA,GA,108
Domestic,Other,31420,Macon,31420,-83.7149068717,32.8576948889,SA,GA,109
Domestic,100,12060,Atlanta-Sandy Springs-Marietta,12060,-84.4374996246,33.6970734323,SA,GA,110
Domestic,Other,40660,Rome,40660,-85.214278643,34.2631627029,SA,GA,111
Domestic,Other,19140,Dalton,19140,-84.848108067,34.7962814442,SA,GA,112
Domestic,Other,23580,Gainesville,23580,-83.8196810821,34.3168890151,SA,GA,113
Domestic,Other,12020,Athens-Clarke County,12020,-83.21378682,33.9490060927,SA,GA,114
Domestic,100,12260,Augusta-Richmond County,12260,-81.9465365277,33.4351990533,SA,GA-SC,115
Domestic,100,16700,Charleston-North Charleston,16700,-80.010586331,33.0165093634,SA,SC,116
Domestic,Other,34820,Myrtle Beach-Conway-North Myrtle Beach,34820,-78.9761494623,33.9044792809,SA,SC,117
Domestic,Other,22500,Florence,22500,-79.8084495607,34.1520189911,SA,SC,118
Domestic,Other,44940,Sumter,44940,-80.3823159258,33.9161721891,SA,SC,119
Domestic,100,17900,Columbia,17900,-81.042437088,34.0917589745,SA,SC,120
Domestic,Rest,90045,Rest of South Carolina,90045,-80.89968,33.91446,SA,SC,121
Domestic,Other,11340,Anderson,11340,-82.6378849573,34.5190912525,SA,SC,122
Domestic,100,24860,Greenville,24860,-82.3306565895,34.7466431882,SA,SC,123
Domestic,Other,43900,Spartanburg,43900,-81.990678492,34.9312615318,SA,SC,124
Domestic,Other,11700,Asheville,11700,-82.6826445432,35.6006301221,SA,NC,125
Domestic,Other,25860,Hickory-Lenoir-Morganton,25860,-81.4546295996,35.8131724062,SA,NC,126
Domestic,Rest,90037,Rest of North Carolina,90037,-79.38704,35.54383,SA,NC,127
Domestic,100,16740,Charlotte-Gastonia-Concord,16740,-80.732372073,35.1095645415,SA,NC-SC,128
Domestic,Other,49180,Winston-Salem,49180,-80.3969010012,36.1852080342,SA,NC,129
Domestic,100,24660,Greensboro-High Point,24660,-79.791739263,36.0259525954,SA,NC,130
Domestic,Other,15500,Burlington,15500,-79.3995103441,36.0440693091,SA,NC,131
Domestic,Other,20500,Durham,20500,-79.0996685324,35.990862477,SA,NC,132
Domestic,100,39580,Raleigh-Cary,39580,-78.4608030022,35.7571343983,SA,NC,133
Domestic,Other,22180,Fayetteville,22180,-78.9803636486,35.0369338151,SA,NC,134
Domestic,Other,48900,Wilmington,48900,-78.0389308882,34.2518772183,SA,NC,135
Domestic,Other,27340,Jacksonville,27340,-77.4159487763,34.7094320868,SA,NC,136
Domestic,Other,24140,Goldsboro,24140,-78.0041480414,35.3637813727,SA,NC,137
Domestic,Other,24780,Greenville,24780,-77.4616739363,35.5622864466,SA,NC,138
Domestic,Other,40580,Rocky Mount,40580,-77.7985458593,35.9410389251,SA,NC,139
Domestic,100,47260,Virginia Beach-Norfolk-Newport News,47260,-76.3877749773,36.9145690137,SA,VA-NC,140
Domestic,100,40060,Richmond,40060,-77.5235047956,37.5242632148,SA,VA,141
Domestic,Rest,90051,Rest of Virginia,90051,-78.81882,37.51485,SA,VA,142
Domestic,Other,16820,Charlottesville,16820,-78.5930737988,37.9502386969,SA,VA,143
Domestic,Other,25500,Harrisonburg,25500,-78.8757129436,38.5106123776,SA,VA,144
Domestic,Other,31340,Lynchburg,31340,-79.2197124967,37.3650125104,SA,VA,145
Domestic,Other,19260,Danville,19260,-79.3976110932,36.8111224243,SA,VA,146
Domestic,Other,40220,Roanoke,40220,-79.9469127042,37.2861509673,SA,VA,147
Domestic,Other,13980,Blacksburg-Christiansburg-Radford,13980,-80.5924292342,37.1865962865,SA,VA,148
Domestic,Other,16620,Charleston,16620,-81.6486587875,38.2879072377,SA,WV,149
Domestic,Other,26580,Huntington-Ashland,26580,-82.5482150753,38.4069780542,SA,WV-KY-OH,150
Domestic,Rest,90054,Rest of West Virginia,90054,-80.61374,38.64258,SA,WV,151
Domestic,Other,34060,Morgantown,34060,-79.804453199,39.527283523,SA,WV,152
Domestic,Other,49020,Winchester,49020,-78.4738886614,39.2721494236,SA,VA-WV,153
Domestic,Other,19060,Cumberland,19060,-78.8049072354,39.5319644714,SA,MD-WV,154
Domestic,Other,25180,Hagerstown-Martinsburg,25180,-77.9813769468,39.5499024612,SA,MD-WV,155
Domestic,100,47900,Washington-Arlington-Alexandria,47900,-77.3845620225,38.8438404682,SA,DC-VA-MD-WV,156
Domestic,100,12580,Baltimore-Towson,12580,-76.5510076333,39.3055421353,SA,MD,157
Domestic,Rest,90024,Rest of Maryland,90024,-76.79919,39.01912,SA,MD,158
Domestic,Other,41540,Salisbury,41540,-75.7653581363,38.1949315501,SA,MD,159
Domestic,Rest,90010,Rest of Delaware,90010,-75.50742,39.00387,SA,DE,160
Domestic,Other,20100,Dover,20100,-75.5046136416,39.0959543836,SA,DE,161
Domestic,Other,47220,Vineland-Millville-Bridgeton,47220,-75.1293422112,39.328069234,NE,NJ,162
Domestic,Other,36140,Ocean City,36140,-74.8499819877,39.0851270545,NE,NJ,163
Domestic,Other,12100,Atlantic City,12100,-74.6337332025,39.4688338122,NE,NJ,164
Domestic,100,37980,Philadelphia-Camden-Wilmington,37980,-75.3117878982,39.8958339418,NE,PA-NJ-DE-MD,165
Domestic,Other,39740,Reading,39740,-75.9259977266,40.4162954729,NE,PA,166
Domestic,100,29540,Lancaster,29540,-76.2477047342,40.0424385752,NE,PA,167
Domestic,Other,30140,Lebanon,30140,-76.4577120095,40.3672317389,NE,PA,168
Domestic,Other,49620,York-Hanover,49620,-76.7265112411,39.9199624532,NE,PA,169
Domestic,100,25420,Harrisburg-Carlisle,25420,-77.1012011048,40.3266721684,NE,PA,170
Domestic,Other,44300,State College,44300,-77.8199512137,40.9193416138,NE,PA,171
Domestic,Other,48700,Williamsport,48700,-77.0645062252,41.3433818662,NE,PA,172
Domestic,Rest,90042,Rest of Pennsylvania,90042,-77.79929,40.87367,NE,PA,173
Domestic,100,42540,Scranton--Wilkes-Barre,42540,-75.8957330438,41.3231844163,NE,PA,174
Domestic,100,10900,Allentown-Bethlehem-Easton,10900,-75.4036535187,40.7893929783,NE,PA-NJ,175
Domestic,Other,45940,Trenton-Ewing,45940,-74.7016891601,40.2834047853,NE,NJ,176
Domestic,100,35620,New York-Northern New Jersey-Long Island,35620,-73.8798531924,40.7732600181,NE,NY-NJ-PA,177
Domestic,100,39100,Poughkeepsie-Newburgh-Middletown,39100,-74.0256830838,41.5826937665,NE,NY,178
Domestic,Other,28740,Kingston,28740,-74.2585694782,41.8881456591,NE,NY,179
Domestic,100,14860,Bridgeport-Stamford-Norwalk,14860,-73.3712044318,41.2249601919,NE,CT,180
Domestic,100,35300,New Haven-Milford,35300,-72.8998597078,41.3488225507,NE,CT,181
Domestic,Rest,90009,Rest of Connecticut,90009,-72.72524,41.62182,NE,CT,182
Domestic,Rest,90025,Rest of Massachusetts,90025,-71.81222,42.25681,NE,MA,183
Domestic,Other,38340,Pittsfield,38340,-73.2064038783,42.3706738939,NE,MA,184
Domestic,100,44140,Springfield,44140,-72.6256423304,42.3648703069,NE,MA,185
Domestic,100,25540,Hartford-West Hartford-East Hartford,25540,-72.5726848597,41.7181033773,NE,CT,186
Domestic,Other,35980,Norwich-New London,35980,-72.1064968825,41.4667792252,NE,CT,187
Domestic,100,39300,Providence-New Bedford-Fall River,39300,-71.3896668287,41.6449354617,NE,RI-MA,188
Domestic,Other,12700,Barnstable Town,12700,-70.238136583,41.7734491612,NE,MA,189
Domestic,100,49340,Worcester,49340,-71.9077397201,42.3513989569,NE,MA,190
Domestic,100,14460,Boston-Cambridge-Quincy,14460,-71.021990196,42.5181538541,NE,MA-NH,191
Domestic,Other,31700,Manchester-Nashua,31700,-71.7160088215,42.9153058036,NE,NH,192
Domestic,Other,38860,Portland-South Portland-Biddeford,38860,-70.4168690473,43.6529644724,NE,ME,193
Domestic,Other,30340,Lewiston-Auburn,30340,-70.2064449959,44.1658484297,NE,ME,194
Domestic,Other,12620,Bangor,12620,-68.6494281279,45.4005123275,NE,ME,195
Domestic,Rest,90023,Rest of Maine,90023,-69.23203,45.3802,NE,ME,196
Domestic,Rest,90033,Rest of New Hampshire,90033,-71.57889,43.68676,NE,NH,197
Domestic,Other,15540,Burlington-South Burlington,15540,-73.0307789165,44.687197829,NE,VT,198
Domestic,Rest,90050,Rest of Vermont,90050,-72.66274,44.07523,NE,VT,199
Domestic,Other,24020,Glens Falls,24020,-73.6488113138,43.4435495117,NE,NY,200
Domestic,100,10580,Albany-Schenectady-Troy,10580,-73.9419756141,42.7885047386,NE,NY,201
Domestic,Rest,90036,Rest of New York,90036,-75.51593,42.95117,NE,NY,202
Domestic,Other,46540,Utica-Rome,46540,-75.1813636518,43.3374184475,NE,NY,203
Domestic,100,45060,Syracuse,45060,-76.0769525969,43.2009675118,NE,NY,204
Domestic,Other,13780,Binghamton,13780,-76.0251326945,42.1644737322,NE,NY,205
Domestic,Other,21300,Elmira,21300,-76.7600260495,42.1412473554,NE,NY,206
Domestic,Other,27060,Ithaca,27060,-76.4736586183,42.4520162618,NE,NY,207
Domestic,100,40380,Rochester,40380,-77.5539366013,43.1885123395,NE,NY,208
Domestic,100,15380,Buffalo-Niagara Falls,15380,-78.7753844,43.0378677953,NE,NY,209
Domestic,Other,21500,Erie,21500,-80.0981063427,42.1174762412,NE,PA,210
Domestic,Other,11020,Altoona,11020,-78.3486041594,40.4809952662,NE,PA,211
Domestic,Other,27780,Johnstown,27780,-78.7137032906,40.4952940103,NE,PA,212
Domestic,100,38300,Pittsburgh,38300,-79.8309606593,40.4390151885,NE,PA,213
Domestic,Other,37620,Parkersburg-Marietta,37620,-81.4484181582,39.3078048295,ENC,OH-WV,214
Domestic,Other,48540,Wheeling,48540,-80.8413291797,39.9747556004,ENC,OH-WV,215
Domestic,Other,48260,Weirton-Steubenville,48260,-80.7042602701,40.3880357359,ENC,OH-WV,216
Domestic,Other,15940,Canton-Massillon,15940,-81.2534919634,40.7186608364,ENC,OH,217
Domestic,100,49660,Youngstown-Warren-Boardman,49660,-80.5676321915,41.2378055576,ENC,OH-PA,218
Domestic,100,10420,Akron,10420,-81.3495340509,41.1487306823,ENC,OH,219
Domestic,100,17460,Cleveland-Elyria-Mentor,17460,-81.6612142371,41.5923672428,ENC,OH,220
Domestic,Other,41780,Sandusky,41780,-82.5762765185,41.4705579409,ENC,OH,221
Domestic,Other,31900,Mansfield,31900,-82.5364838907,40.7746843464,ENC,OH,222
Domestic,100,18140,Columbus,18140,-82.9356709834,40.0410942005,ENC,OH,223
Domestic,Rest,90039,Rest of Ohio,90039,-82.79005,40.29128,ENC,OH,224
Domestic,100,17140,Cincinnati-Middletown,17140,-84.4646155975,39.0810970935,ENC,OH-KY-IN,225
Domestic,100,19380,Dayton,19380,-84.2675398054,39.8076484173,ENC,OH,226
Domestic,Other,44220,Springfield,44220,-83.783896521,39.9167775481,ENC,OH,227
Domestic,Other,30620,Lima,30620,-84.1057786905,40.7715211756,ENC,OH,228
Domestic,100,45780,Toledo,45780,-83.5148951128,41.554718483,ENC,OH,229
Domestic,Other,33780,Monroe,33780,-83.4942579302,41.9213954478,ENC,MI,230
Domestic,Other,11460,Ann Arbor,11460,-83.8387711064,42.2532261717,ENC,MI,231
Domestic,100,19820,Detroit-Warren-Livonia,19820,-83.2058159447,42.7161943756,ENC,MI,232
Domestic,Other,22420,Flint,22420,-83.7067110464,43.0217229124,ENC,MI,233
Domestic,Other,40980,Saginaw-Saginaw Township North,40980,-84.0531870419,43.3350287381,ENC,MI,234
Domestic,Other,13020,Bay City,13020,-83.941835088,43.7213655974,ENC,MI,235
Domestic,Rest,90026,Rest of Michigan,90026,-85.43981,44.34739,ENC,MI,236
Domestic,Other,27100,Jackson,27100,-84.4234374962,42.2484866902,ENC,MI,237
Domestic,Other,29620,Lansing-East Lansing,29620,-84.6069741464,42.7133003247,ENC,MI,238
Domestic,Other,12980,Battle Creek,12980,-85.0055913066,42.2465343236,ENC,MI,239
Domestic,100,24340,Grand Rapids-Wyoming,24340,-85.4822361354,43.0849394118,ENC,MI,240
Domestic,Other,34740,Muskegon-Norton Shores,34740,-86.5352338475,43.2899298739,ENC,MI,241
Domestic,Other,26100,Holland-Grand Haven,26100,-86.421882282,42.9485348852,ENC,MI,242
Domestic,Other,28020,Kalamazoo-Portage,28020,-86.0371757706,42.2713355205,ENC,MI,243
Domestic,Other,35660,Niles-Benton Harbor,35660,-86.685421162,41.9957776883,ENC,MI,244
Domestic,Other,43780,South Bend-Mishawaka,43780,-86.1341467806,41.7736298123,ENC,IN-MI,245
Domestic,Other,33140,Michigan City-La Porte,33140,-86.7423662183,41.54902154,ENC,IN,246
Domestic,Other,21140,Elkhart-Goshen,21140,-85.8587552791,41.5973844814,ENC,IN,247
Domestic,Other,23060,Fort Wayne,23060,-85.2167747307,41.0053998883,ENC,IN,248
Domestic,Other,29140,Lafayette,29140,-86.9295545577,40.5143289667,ENC,IN,249
Domestic,Other,29020,Kokomo,29020,-86.0863928135,40.4027538929,ENC,IN,250
Domestic,Other,34620,Muncie,34620,-85.396899293,40.227525319,ENC,IN,251
Domestic,Other,11300,Anderson,11300,-85.7193451776,40.1616556262,ENC,IN,252
Domestic,100,26900,Indianapolis,26900,-86.2632238799,39.6988549822,ENC,IN,253
Domestic,Other,18020,Columbus,18020,-85.8976045301,39.2059730344,ENC,IN,254
Domestic,Other,14020,Bloomington,14020,-86.7918689418,39.1543280092,ENC,IN,255
Domestic,Rest,90018,Rest of Indiana,90018,-86.27555,39.90814,ENC,IN,256
Domestic,Other,45460,Terre Haute,45460,-87.3439938808,39.3919113367,ENC,IN,257
Domestic,Other,21780,Evansville,21780,-87.5950482604,37.9795487674,ENC,IN-KY,258
Domestic,Other,19180,Danville,19180,-87.7328348874,40.1834219411,ENC,IL,259
Domestic,Other,16580,Champaign-Urbana,16580,-88.294535712,40.2266891348,ENC,IL,260
Domestic,Other,19500,Decatur,19500,-88.9615967595,39.8599951883,ENC,IL,261
Domestic,Other,44100,Springfield,44100,-89.6969067548,39.8295957969,ENC,IL,262
Domestic,Rest,90017,Rest of Illinois,90017,-89.1984,40.065,ENC,IL,263
Domestic,Other,14060,Bloomington-Normal,14060,-88.8473229922,40.4908904786,ENC,IL,264
Domestic,Other,37900,Peoria,37900,-89.5159184627,40.7891578392,ENC,IL,265
Domestic,Other,19340,Davenport-Moline-Rock Island,19340,-90.4659221289,41.3968810703,ENC,IL-IA,266
Domestic,Other,28100,Kankakee-Bradley,28100,-87.8617982746,41.1377046879,ENC,IL,267
Domestic,100,16980,Chicago-Naperville-Joliet,16980,-87.8296246688,41.824838709,ENC,IL-IN-WI,268
Domestic,Other,40420,Rockford,40420,-89.0420825864,42.3316243591,ENC,IL,269
Domestic,Other,27500,Janesville,27500,-89.0715769373,42.6712238194,ENC,WI,270
Domestic,Other,39540,Racine,39540,-87.6960633338,42.7511710424,ENC,WI,271
Domestic,100,33340,Milwaukee-Waukesha-West Allis,33340,-87.7969878688,43.1803927712,ENC,WI,272
Domestic,100,31540,Madison,31540,-89.5901850215,43.1630404209,ENC,WI,273
Domestic,Other,22540,Fond du Lac,22540,-88.4882624675,43.753589753,ENC,WI,274
Domestic,Other,43100,Sheboygan,43100,-87.6347722038,43.7197084504,ENC,WI,275
Domestic,Other,36780,Oshkosh-Neenah,36780,-88.6446589197,44.0688770602,ENC,WI,276
Domestic,Other,11540,Appleton,11540,-88.3711480384,44.2890278385,ENC,WI,277
Domestic,Other,24580,Green Bay,24580,-87.8250637327,44.6988090745,ENC,WI,278
Domestic,Rest,90055,Rest of Wisconsin,90055,-90.01143,44.63576,ENC,WI,279
Domestic,Other,48140,Wausau,48140,-89.7590591238,44.8982857143,ENC,WI,280
Domestic,Other,29100,La Crosse,29100,-91.3196665966,43.7792486163,ENC,WI-MN,281
Domestic,Other,20740,Eau Claire,20740,-91.2822168355,44.9387915953,ENC,WI,282
Domestic,Other,20260,Duluth,20260,-92.3928273475,47.31843785,WNC,MN-WI,283
Domestic,Rest,90027,Rest of Minnesota,90027,-94.30931,46.31632,WNC,MN,284
Domestic,Other,41060,St. Cloud,41060,-94.472031047,45.5858913087,WNC,MN,285
Domestic,100,33460,Minneapolis-St. Paul-Bloomington,33460,-93.2033706389,45.066514882,WNC,MN-WI,286
Domestic,Other,40340,Rochester,40340,-92.4671761906,44.1028422085,WNC,MN,287
Domestic,Other,47940,Waterloo-Cedar Falls,47940,-92.4711555367,42.5362321063,WNC,IA,288
Domestic,Other,20220,Dubuque,20220,-90.8824564236,42.4688319666,WNC,IA,289
Domestic,Other,16300,Cedar Rapids,16300,-91.6313350599,42.0914743529,WNC,IA,290
Domestic,Other,26980,Iowa City,26980,-91.6499723665,41.5113470482,WNC,IA,291
Domestic,Other,11180,Ames,11180,-93.4650447632,42.036241502,WNC,IA,292
Domestic,100,19780,Des Moines,19780,-93.9404428223,41.547835592,WNC,IA,293
Domestic,Rest,90019,Rest of Iowa,90019,-93.50006,42.07466,WNC,IA,294
Domestic,Rest,90029,Rest of Missouri,90029,-92.47724,38.3675,WNC,MO,295
Domestic,100,41180,St. Louis,41180,-90.3951309644,38.6692149552,WNC,MO-IL,296
Domestic,Other,27620,Jefferson City,27620,-92.0916925887,38.6398127906,WNC,MO,297
Domestic,Other,17860,Columbia,17860,-92.4666595103,39.0522894615,WNC,MO,298
Domestic,Other,44180,Springfield,44180,-93.1770742467,37.3616702384,WNC,MO,299
Domestic,Other,27900,Joplin,27900,-94.3399350907,37.0565431668,WNC,MO,300
Domestic,100,28140,Kansas City,28140,-94.5051957844,38.9102602508,WNC,MO-KS,301
